# File: iso_GCAM_regID.csv,,,
# Title: ISO to GCAM region mapping,,,
# Units: NA,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,
# Column types: ccci,,,
# ----------,,,
iso,country_name,region_GCAM3,GCAM_region_ID
pyf,French Polynesia,Southeast Asia,29
sgp,Singapore,Southeast Asia,29
slb,Solomon Islands,Southeast Asia,29
syc,Seychelles,Africa,29
tha,Thailand,Southeast Asia,29
tkl,Tokelau,Australia_NZ,29
tls,Timor Leste,Southeast Asia,29
ton,Tonga,Southeast Asia,29
tuv,Tuvalu,Southeast Asia,29
vnm,Viet Nam,China,29
vut,Vanuatu,Southeast Asia,29
wsm,Samoa,Southeast Asia,29
twn,Taiwan,Southeast Asia,30
arg,Argentina,Latin America,31
flk,Falkland Islands (Malvinas),Latin America,31
col,Colombia,Latin America,32
ukr,Ukraine,Former Soviet Union,33
chi,Channel Islands,Western Europe,34
fro,Faroe Islands,Western Europe,34
gbr,United Kingdom,Western Europe,34
ggy,Guernsey,Western Europe,34
grl,Greenland,Western Europe,34
imn,Isle of Man,Western Europe,34
irl,Ireland,Western Europe,34
jey,Jersey,Western Europe,34
shn,Saint Helena,Africa,34
hrv,Croatia,Eastern Europe,35
aut,Austria,Western Europe,35
cze,Czech Republic,Eastern Europe,35
hun,Hungary,Eastern Europe,35
svk,Slovakia,Eastern Europe,35
svn,Slovenia,Eastern Europe,35
pol,Poland,Eastern Europe,36
cyp,Cyprus,Western Europe,37
grc,Greece,Western Europe,37
bgr,Bulgaria,Eastern Europe,37
rom,Romania,Eastern Europe,37
fin,Finland,Western Europe,38
swe,Sweden,Western Europe,38
est,Estonia,Former Soviet Union,38
lva,Latvia,Former Soviet Union,38
ltu,Lithuania,Former Soviet Union,39
